Year,BOT Resolution Number,Campus,Gender,Year Level,Basis/Reason,Category,Status,Residence
2017,2017-06-70,CVC,M,Grade 11,"Incurred failing grades of 5.0 in English 5, Research 2",Academic,Termination,Intern
2017,2017-06-70,CLC,M,Grade 11,Incurred a failing grade of 5.0 in English 5,Academic,Termination,Intern
2017,2017-06-70,MC,F,Grade 11,"Incurred more than twelve (12) unexcused absences, a total of seventy-seven (77) absences and nine (9) cutting classes",Attendance,Termination,Intern
2017,2017-06-70,MC,M,Grade 11,"Incurred a failing grade of 5.0 in Research 2, on probation for two (2) consecutive years, SY 2015-2016 GWA: 2.573, SY 2016-2017 GWA: 2.718",Academic,Termination,Intern
2017,2017-06-70,MC,F,Grade 11,"Incurred a failing grade of 5.0 in Research 2 and English 5; on probation for two (2) consecutive years, SY 2015-2016 incurred ten (10) unexcused absences, SY 2016-2017 GWA: 3.215",Combination,Termination,Extern
2017,2017-06-70,MC,M,Grade 10,"Incurred a final grade of 5.0 in Chemistry 2; on probation for two (2) consecutive years, SY 2015-2016 GWA is below 2.25, SY 2016-2017 incurred eight (8) unexcused absences",Combination,Termination,Intern
2017,2017-06-70,MC,F,Grade 9,"On probation for two (2) consecutive years, SY 2015-2016 - commission of six (6) Level 2 Offenses which is equivalent to a Level 3 Offense, SY 2016-2017 - commission of six (6) Level 2 Offenses equivalent to one (1) Level 3 Offense",Behavior,Termination,Intern
2017,2017-06-70,MC,M,Grade 7,Incurred a failing grade of 5.0 in Social Science 1,Academic,Termination,Extern
2017,2017-06-70,MC,M,Grade 11,Incurred a failing grade of 5.0 in Research 2,Academic,Termination,Intern
2017,2017-06-70,MC,M,Grade 7,Incurred a failing grade of of 5.0 in Mathematics 1,Academic,Termination,Intern
2017,2017-06-70,MC,M,Grade 10,"Incurred a failing grade of 5.0 in Chemistry 2, Phsyics 2, Mathematics 4, Filipino 4, and Social Science 4",Academic,Termination,Extern
2017,2017-06-70,CARC,M,Grade 11,"Commission of two (2) counts of Level 3 Offense in a school year, Level 3 Offense for bringing, drinking and coercing students to drink alcohol in the classroom for two (2) days, bullying students not to squeal and bullying the whistle-blower; three (3) counts of Level 3 Offense for falsifying three (3) entries in the school's logbook for tardy students",Behavior,Termination,Extern
2017,2017-06-70,WVC,F,Grade 8,"Incurred a failing grade of 5.0 in Math 2, on probation for two (2) consecutive  years, SY 2015-2016 GWA: 2.269, SY 2016-2017 GWA: 2.598",Academic,Termination,Extern
2017,2017-06-70,WVC,M,Grade 11,Incurred a failing grade of 5.0 in Research 2,Academic,Termination,Extern
2017,2017-06-70,WVC,M,Grade 8,"On probation for two (2) consecutive years, SY 2015-2016 GWA: 2.33.9, SY 2016-2017 GWA: 2.405",Academic,Termination,Extern
2017,2017-06-70,EVC,M,Grade 8,Incurred a failing grade of 5.0 in Computer Science 2,Academic,Termination,Extern
2017,2017-06-70,EVC,M,Grade 9,"On probation for two (2) consecutive years, SY 2015-2016 GWA: 2.30, SY 2016-2017 GWA: 2.28",Academic,Termination,Intern
2017,2017-06-70,EVC,M,Grade 10,"On probation for two (2) consecutive years, SY 2015-2016 GWA: 2.33, SY 2016-2017 GWA: 2.33",Academic,Termination,Extern
2017,2017-06-70,EVC,M,Grade 8,Incurred a failing grade of 5.0 in Computer Science 2,Academic,Termination,Extern
2017,2017-06-70,CMC,M,Grade 9,Incurred a failing grade of 5.0 in Physics 1,Academic,Termination,Intern
2017,2017-06-70,CMC,F,Grade 9,Incurred a failing grade of 5.0 in Physics 1,Academic,Termination,Extern
2017,2017-06-70,CMC,M,Grade 7,"Commission of two (2) counts of Level 3 Offense in one school year, for stealing a wallet in school and a shoplifting incident at Shoppe 24 Convenience Store",Behavior,Termination,Extern
2017,2017-10-115,CVC,F,Grade 10,For not enrolling on the academic year (abandonment of scholarship); decided to transfer to another school to join the school's volleyball varisty team,Others,Termination,Intern
2018,2018-05-35,MC,M,Grade 12,Incurred a failing grade of 5.0 in Physics due to Discipline Case related to Academic Dishonesty,Academic,Termination,Extern
2018,2018-05-35,CARC,F,Grade 12,"Incurred failing grades of 5.0 in English 6, Filipino 6, Math 6, Social Science 6, Physics 4 Level 2",Academic,Termination,Extern
2018,2018-05-36,MC,M,Grade 10,Two (2) counts of Level 3 Offense of Academic Dishonesty,Behavior,Termination,Extern
2018,2018-06-54,IRC,F,Grade 9,"On probation for two (2) consecutive years, SY 2016-2017 GWA: 2.31, SY 2017-2018 GWA: 2.92; incurred a failing grade of 5.0 in Physics 1 and Computer Science 3 in the fourth quarter of this school year",Academic,Termination,Intern
2018,2018-06-54,IRC,M,Grade 10,"On probation for two (2) consecutive years, Grade 9 GWA: 2.75, SY 2017-2018 GWA: 2.27",Academic,Termination,Intern
2018,2018-06-54,IRC,M,Grade 9,"On probation for two (2) consecutive years, incurred a failing grade of 5.0 in Physics 1 in the fourth quarter of this school year",Academic,Termination,Intern
2018,2018-06-54,IRC,M,Grade 10,"On probation for two (2) consecutive years, SY 2016-2017 GWA: 2.29, SY 2017-2018 GWA:2.30",Academic,Termination,Extern
2018,2018-06-54,IRC,M,Grade 8,"On probation for two (2) consecutive years, SY 2016-2017 GWA: 2.26, SY 2017-2018 GWA: 2.31",Academic,Termination,Intern
2018,2018-06-54,CVC,M,Grade 9,Commission of a Level 4 Offense,Behavior,Termination,Intern
2018,2018-06-54,CVC,M,Grade 8,"On probation for two (2) consecutive years, SY 2016-2017 due to a commission of Level 3 Offense, SY 2017-2018 GWA: 2.30 and commits a Level 3 Offense",Combination,Termination,Intern
2018,2018-06-54,CLC,M,Grade 11,Three (3) counts of Level 3 Offenses,Behavior,Termination,Extern
2018,2018-06-54,CLC,F,Grade 11,Two (2) counts of Level 3 Offenses,Behavior,Termination,Intern
2018,2018-06-54,CLC,M,Grade 9,Three (3) counts of Level 3 Offenses,Behavior,Termination,Extern
2018,2018-06-54,CLC,M,Grade 9,Six (6) counts of Level 3 Offenses,Behavior,Termination,Intern
2018,2018-06-54,CLC,M,Grade 11,Two (2) counts of Level 3 Offenses,Behavior,Termination,Extern
2018,2018-06-54,CLC,M,Grade 9,Two (2) counts of Level 3 Offenses,Behavior,Termination,Intern
2018,2018-06-54,MC,M,Grade 11,Incurred a failing grade of 5.0 in Research 1,Academic,Termination,Intern
2018,2018-06-54,MC,M,Grade 10,"On Probation for two (2) consecutive years, SY 2016-2017 GWA: 2.416, SY 2017-2018 GWA: 2.713",Academic,Termination,Intern
2018,2018-06-54,MC,M,Grade 9,Two (2) counts of Level 3 Offenses,Behavior,Termination,Extern
2018,2018-06-54,MC,M,Grade 7,Incurred a failing grade of 5.0 in Math 1,Academic,Termination,Intern
2018,2018-06-54,BRC,F,Grade 10,Incurred a failing grade of 5.0 in Research 1,Academic,Termination,Intern
2018,2018-06-54,BRC,F,Grade 11,Incurred a failing grade of 5.0 in Math 5,Academic,Termination,Intern
2018,2018-06-54,BRC,M,Grade 10,Incurred a failing grade of 5.0 in Research 1,Academic,Termination,Intern
2018,2018-06-54,CARC,M,Grade 8,"Incurred failing grades of 5.0 in Computer Science 2, AdTech 2, Integrated Science 2, Math 2, due to numerous absences and difficulties coping with the subjects",Combination,Termination,Extern
2018,2018-06-54,CALABARZON,M,Grade 8,"On probation for two (2) consecutive years, SY 2016-2017 GWA: 2.42, SY 2017-2018 GWA: 2.46",Academic,Termination,Intern
2018,2018-06-54,WVC,M,Grade 8,Incurred a failing grade of 5.0 in Math,Academic,Termination,Extern
2018,2018-06-54,WVC,F,Grade 8,Incurred a failing grade of 5.0 in Math,Academic,Termination,Extern
2018,2018-06-54,WVC,M,Grade 9,"On probation for two (2) consecutive years, SY 2016-2017 GWA: 2.309, SY 2017-2018 GWA: 2.325",Academic,Termination,Extern
2018,2018-06-54,WVC,M,Grade 9,"On probation for two (2) consecutive years, SY 2016-2017 GWA 2.315, SY 2017-2018 GWA: 2.325",Academic,Termination,Intern
2018,2018-06-54,EVC,F,Grade 10,Incurred a failing grade of 5.0 in Science and Technology Research 1,Academic,Termination,Intern
2018,2018-06-54,EVC,M,Grade 8,Incurred a failing grade of 5.0 in Math 2,Academic,Termination,Extern
2018,2018-06-54,EVC,M,Grade 8,"Incurred a failing grade of 5.0 in Computer Science, English, Earth Science, Filipino, Integrated Science, Math, PEHM, Social Science and Values Education",Academic,Termination,Extern
2018,2018-06-54,EVC,M,Grade 11,"Incurred a failing grade of 5.0 in Filipino 5, Math 5, Science and Technology Research 2, Chemistry 3",Academic,Termination,Intern
2018,2018-06-54,EVC,M,Grade 8,Incurred a failing grade of 5.0 in Math 2,Academic,Termination,Extern
2018,2018-06-54,EVC,M,Grade 11,"Incurred a failing grade of 5.0 in Chemistry, Science and Technology Research 2",Academic,Termination,Extern
2018,2018-06-54,EVC,M,Grade 8,Incurred a failing grade of 5.0 in Math 2,Academic,Termination,Intern
2018,2018-06-54,EVC,M,Grade 9,"Incurred a failing grade of 5.0 in Biology 1, English 3 and Statistics 1",Academic,Termination,Extern
2018,2018-06-54,EVC,M,Grade 8,Incurred a failing grade of 5.0 in Math 2 and Integrated Science 2,Academic,Termination,Extern
2018,2018-06-54,CVISC,F,Grade 8,"On probation for two (2) consecutive years, committed two Level 3 Offenses",Behavior,Termination,Extern
2018,2018-06-54,CMC,M,Grade 11,Incurred a failing grade of 5.0 in Research 2,Academic,Termination,Intern
2018,2018-06-54,CMC,M,Grade 11,"Incurred a failing grade of 5.0 in Chemistry 3, Math 5, Research 2, English 5, Filipino 5 and incurred more than twelve (12) unexcused absences",Combination,Termination,Extern
2018,2018-06-54,SMC,M,Grade 11,"Incurred a failing grade of 5.0 in Biology 3 and Agriculture 1, GWA: 3.16",Academic,Termination,Intern
2018,2018-06-54,CRC,M,Grade 7,Incurred a failing grade of 5.0 in Math 1,Academic,Termination,Extern
2018,2018-06-54,MRC,M,Grade 8,"On probation for two (2) consecutive years, Grade 7 GWA: 2.495, Grade 8 GWA: 2.889",Academic,Termination,Extern
